producao_id,nomeartigo,pesquisador_nome,anoartigo,relevancia
4,A Inovação no Processo Judicial Eletrônico para Administração da Justiça Brasileira,Hugo Saba Pereira Cardoso,2015.0,0.6079271
13,Inovação e empreendedorismo como caminhos para novos modelos de ensino/aprendizagem,Hugo Saba Pereira Cardoso,2017.0,0.6079271
18,CATÁLOGO DE AÇÕES DA AGÊNCIA UNEB DE INOVAÇÃO DURANTE O ANO DE 2018 COM BASE NA ESTRATÉGIA NACIONAL DE CT&I DO BRASIL 2016-2022,Hugo Saba Pereira Cardoso,2019.0,0.6079271
26,Um olhar teórico-prático da difusão da inovação e Propriedade Intelectual,Hugo Saba Pereira Cardoso,2020.0,0.6079271
80,A INOVAÇÃO NO PROCESSO JUDICIAL ELETRÔNICO DA   BAHIA PARA ADMINISTRAÇÃO DA JUSTIÇA BRASILEIRA,Eduardo Manuel de Freitas Jorge,2015.0,0.6079271
85,Inovação e empreendedorismo como caminhos para novos modelos de ensino/aprendizagem,Eduardo Manuel de Freitas Jorge,2017.0,0.6079271
90,CATÁLOGO DE AÇÕES DA AGÊNCIA UNEB DE INOVAÇÃO DURANTE O ANO DE 2018 COM BASE NA ESTRATÉGIA NACIONAL DE CT&I DO BRASIL 2016-2022,Eduardo Manuel de Freitas Jorge,2019.0,0.6079271
